"Período","Países",año,valor
"2010-2011","Argentina",2011,29.4
"2005-2009","Argentina",2011,30.2
"2000-2004","Argentina",2011,49.6
"1995-1999","Argentina",2011,55.4
"1990-1994","Argentina",2011,60.1
"1985-1989","Argentina",2011,54.8
"1980-1984","Argentina",2011,49.9
"1975-1979","Argentina",2011,61.5
"1970-1974","Argentina",2011,33.7
"Antes de 1970","Argentina",2011,13.5
"Ignorado (1)","Argentina",2011,23.9
"2010-2011","Brasil",2011,15.5
"2005-2009","Brasil",2011,17.1
"2000-2004","Brasil",2011,19.7
"1995-1999","Brasil",2011,19
"1990-1994","Brasil",2011,19
"1985-1989","Brasil",2011,15.9
"1980-1984","Brasil",2011,23.6
"1975-1979","Brasil",2011,18.4
"1970-1974","Brasil",2011,35
"Antes de 1970","Brasil",2011,12.5
"Ignorado (1)","Brasil",2011,42.3
"2010-2011","Chile",2011,3.3
"2005-2009","Chile",2011,2.9
"2000-2004","Chile",2011,1.9
"1995-1999","Chile",2011,2.1
"1990-1994","Chile",2011,1.7
"1985-1989","Chile",2011,3.9
"1980-1984","Chile",2011,3.5
"1975-1979","Chile",2011,4
"1970-1974","Chile",2011,4.5
"Antes de 1970","Chile",2011,0.9
"Ignorado (1)","Chile",2011,0.9
"2010-2011","Paraguay",2011,2.1
"2005-2009","Paraguay",2011,3
"2000-2004","Paraguay",2011,3.4
"1995-1999","Paraguay",2011,2.7
"1990-1994","Paraguay",2011,1.9
"1985-1989","Paraguay",2011,2.3
"1980-1984","Paraguay",2011,2.4
"1975-1979","Paraguay",2011,1.6
"1970-1974","Paraguay",2011,5.7
"Antes de 1970","Paraguay",2011,1.7
"Ignorado (1)","Paraguay",2011,1.5
"2010-2011","Perú",2011,3.7
"2005-2009","Perú",2011,4.1
"2000-2004","Perú",2011,4.5
"1995-1999","Perú",2011,2.5
"1990-1994","Perú",2011,1.7
"1985-1989","Perú",2011,0.8
"1980-1984","Perú",2011,1.3
"1975-1979","Perú",2011,0.8
"1970-1974","Perú",2011,0.6
"Antes de 1970","Perú",2011,0.1
"Ignorado (1)","Perú",2011,0.6
"2010-2011","Otros países de Sudamérica",2011,7.3
